time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-09-06T19:48:03.120Z,45.848,26.549,24.6,4.5,mb,83,31.5,,1.34,us,usp000ggjb,2014-11-07T01:37:08.466Z,"Romania",earthquake,,13.4,,28,reviewed,us,us
2008-08-29T07:55:54.960Z,45.505,26.328,170,3.9,md,18,82.5,,,us,usp000gfx3,2014-11-07T01:37:01.026Z,"Romania",earthquake,,,,,reviewed,buc,irsa
2008-08-17T05:00:52.200Z,45.582,21.248,13.7,2.6,ml,15,136,,,us,usp000gev2,2014-11-07T01:36:55.584Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-08-14T05:03:36.940Z,45.672,26.533,126.6,3.3,m,22,39.7,,,us,usp000gemm,2014-11-07T01:36:53.820Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-08-10T00:10:15.880Z,45.527,26.56,125.6,2.7,m,16,71.1,,,us,usp000gea9,2014-11-07T01:36:52.214Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-08-02T09:04:00.360Z,44.6,26.253,27.6,3.4,ml,19,110.6,,,us,usp000gdnk,2014-11-07T01:36:48.611Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-07-31T06:42:19.350Z,45.386,26.123,126.2,2.7,m,8,101.9,,,us,usp000gdh5,2014-11-07T01:36:44.479Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-07-16T12:27:34.180Z,45.452,26.365,143.4,3.7,m,25,67.9,,,us,usp000gcaw,2014-11-07T01:36:38.676Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-07-15T17:41:13.760Z,45.459,26.238,135.6,3.6,m,18,50.6,,,us,usp000gc8w,2014-11-07T01:36:38.281Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-07-10T16:13:40.470Z,45.179,23.08,11.3,3.4,ml,14,209.7,,,us,usp000gbu9,2014-11-07T01:36:36.525Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-07-07T05:44:53.610Z,45.781,26.745,87.8,2.8,m,10,104.7,,,us,usp000gbhk,2014-11-07T01:36:35.285Z,"Romania",earthquake,,,,,reviewed,buc,buc
2008-07-04T23:19:26.840Z,45.648,26.538,146.7,4,mb,58,40.6,,,us,usp000gbbm,2014-11-07T01:36:34.316Z,"Romania",earthquake,,,,9,reviewed,buc,us
2008-07-03T13:44:06.690Z,45.629,26.554,138.5,3.7,md,22,91.7,,,us,usp000gb83,2014-11-07T01:36:33.639Z,"Romania",earthquake,,,,,reviewed,buc,irsa
2008-07-03T00:55:12.400Z,45.579,26.376,149.7,3.3,md,23,53.4,,,us,usp000gb6d,2014-11-07T01:36:33.143Z,"Romania",earthquake,,,,,reviewed,buc,irsa
2008-06-27T11:24:36.870Z,45.029,23.136,20.7,3.3,ml,7,226.7,,,us,usp000gaps,2014-11-07T01:36:26.584Z,"Romania",earthquake,,,,,reviewed,buc,buc
